iter	Logloss
0	0.6880738333
1	0.6827049684
2	0.677586459
3	0.6727807549
4	0.6677023213
5	0.6633845554
6	0.6583713146
7	0.6530931023
8	0.6485828014
9	0.6438220592
10	0.6393526056
11	0.6350162378
12	0.6301445693
13	0.6254083012
14	0.6213868388
15	0.6168945398
16	0.612686543
17	0.608411296
18	0.6049519657
19	0.6014100407
20	0.597137494
21	0.5932161996
22	0.5896122107
23	0.5857961419
24	0.5822086549
25	0.5785488172
26	0.574757951
27	0.5708577874
28	0.5675481732
29	0.5640131918
30	0.5609654202
31	0.5576037289
32	0.5543054302
33	0.5510953839
34	0.5478391754
35	0.5448076913
36	0.5419053496
37	0.5392015007
38	0.5363148036
39	0.5336479444
40	0.5308261828
41	0.5288354681
42	0.5258616758
43	0.5231517835
44	0.5205379872
45	0.5178652131
46	0.5156918215
47	0.5131895087
48	0.5107245285
49	0.5081025884
50	0.5056797842
51	0.503163027
52	0.5010407694
53	0.4991960418
54	0.4972600187
55	0.4951208308
56	0.4929994733
57	0.491280545
58	0.489422316
59	0.4873116311
60	0.4856624389
61	0.4843994312
62	0.4822872891
63	0.4804049717
64	0.4784203862
65	0.4765046366
66	0.4748260841
67	0.4729044196
68	0.4712460121
69	0.4695027384
70	0.4677656367
71	0.4659954028
72	0.4645119999
73	0.4634299118
74	0.461691267
75	0.4604573625
76	0.4592003554
77	0.4580240142
78	0.4567145873
79	0.4555566338
80	0.4539328157
81	0.4524782159
82	0.4511231412
83	0.4497305624
84	0.4482369155
85	0.4467091078
86	0.4454409996
87	0.4441312726
88	0.4428896529
89	0.4416755933
90	0.4403092459
91	0.4393603293
92	0.4381292107
93	0.4368642743
94	0.4356018238
95	0.4345469528
96	0.4334637931
97	0.4320969314
98	0.4308019059
99	0.4296384661
100	0.4288930571
101	0.4278603886
102	0.4268600807
103	0.4258311411
104	0.4248588219
105	0.4236992825
106	0.4227060897
107	0.4217155114
108	0.4209642732
109	0.4201239682
110	0.4193223246
111	0.4185864738
112	0.4181203949
113	0.4174144616
114	0.4166349775
115	0.416053129
116	0.4153734271
117	0.4143075407
118	0.4135937637
119	0.4128555126
120	0.4120918874
121	0.4114844933
122	0.4103799456
123	0.4093244745
124	0.408399089
125	0.4074583589
126	0.4067510969
127	0.4063394525
128	0.4051874997
129	0.4042147519
130	0.403420609
131	0.4025704459
132	0.4018727849
133	0.4012713057
134	0.4005035229
135	0.4000850206
136	0.3993717151
137	0.3987989104
138	0.3980008243
139	0.3972146109
140	0.3965132638
141	0.395837891
142	0.3951928214
143	0.3945534524
144	0.3935980207
145	0.3927524867
146	0.3921122605
147	0.3914187142
148	0.3907967042
149	0.3901914532
150	0.3896765548
151	0.3893714648
152	0.3886026961
153	0.3880023313
154	0.3877216296
155	0.3874888045
156	0.3867251793
157	0.3862450846
158	0.3856343473
159	0.3851430657
160	0.3845397435
161	0.3838758576
162	0.3832606198
163	0.3826680558
164	0.3821432135
165	0.3815641939
166	0.3808509741
167	0.3804492736
168	0.3799835377
169	0.3793780723
170	0.3788707605
171	0.3783917373
172	0.3778258763
173	0.37727716
174	0.3769307083
175	0.376677781
176	0.3761558533
177	0.3759027545
178	0.3753434942
179	0.3748631852
180	0.374303582
181	0.3741174334
182	0.373835703
183	0.3734701778
184	0.3729818966
185	0.3724078061
186	0.3719393269
187	0.3716634257
188	0.371390782
189	0.3710733907
190	0.3706349576
191	0.3702500161
192	0.3700868842
193	0.3695932453
194	0.3692297775
195	0.3688219049
196	0.3684362347
197	0.3678576866
198	0.3675256793
199	0.3669091985
200	0.3666159812
201	0.3660616928
202	0.3658478983
203	0.3653517305
204	0.3649756185
205	0.3644842941
206	0.3640999955
207	0.3637812754
208	0.3633908904
209	0.3633512861
210	0.3629617584
211	0.3626051485
212	0.3623682086
213	0.3619840815
214	0.3615061728
215	0.3612938356
216	0.3610776408
217	0.3607993822
218	0.3604903489
219	0.3601185659
220	0.3597307098
221	0.3592508295
222	0.3590344633
223	0.3586175897
224	0.3583511181
225	0.3581628692
226	0.3577519106
227	0.3574634509
228	0.3572143812
229	0.3569703477
230	0.3567032975
231	0.3564068869
232	0.3561570885
233	0.3559108263
234	0.3556482122
235	0.3553472369
236	0.3549781756
237	0.3547536443
238	0.3544849867
239	0.3542624484
240	0.3539599086
241	0.3536618908
242	0.3536092565
243	0.3534569044
244	0.3532364663
245	0.3530059343
246	0.3525864033
247	0.3522730624
248	0.3519800165
249	0.3517983897
250	0.3515998755
251	0.3513736939
252	0.3510390721
253	0.3505885949
254	0.3503832442
255	0.3500843905
256	0.3500353352
257	0.3497654776
258	0.3494099392
259	0.3491374241
260	0.3486604798
261	0.3484730238
262	0.3483258365
263	0.3480373768
264	0.347826647
265	0.3475465453
266	0.3473924144
267	0.3473361798
268	0.3470566567
269	0.3467678542
270	0.3465422084
271	0.3463190915
272	0.3459812979
273	0.3456821656
274	0.3454379178
275	0.3452571483
276	0.3449950057
277	0.3446550476
278	0.3444545832
279	0.3441909833
280	0.3438154285
281	0.3437272404
282	0.3435089454
283	0.3432696053
284	0.3431254183
285	0.3428677762
286	0.3427437772
287	0.3424399087
288	0.3422173918
289	0.3420417014
290	0.3419072441
291	0.341678898
292	0.3416454658
293	0.3415163019
294	0.3412555737
295	0.3411458905
296	0.3409815585
297	0.3406566663
298	0.3404278273
299	0.340131481
300	0.339806996
301	0.3395508541
302	0.3392659091
303	0.3389500822
304	0.3387602474
305	0.3386080881
306	0.3381656261
307	0.3379836565
308	0.3378700942
309	0.3376186671
310	0.3374784662
311	0.3372352257
312	0.3368176878
313	0.3364683858
314	0.336220602
315	0.3359989638
316	0.3358601131
317	0.3355117969
318	0.3353073034
319	0.3351067532
320	0.33486497
321	0.3344854505
322	0.3343509931
323	0.3341931118
324	0.3338841213
325	0.3337000515
326	0.3335236539
327	0.3331908537
328	0.3328850564
329	0.3325054512
330	0.3323088228
331	0.3321020576
332	0.3316293781
333	0.3314759115
334	0.3311800153
335	0.3309283096
336	0.3307622417
337	0.3305951451
338	0.3304574516
339	0.3302516723
340	0.3299462179
341	0.3298224331
342	0.32964745
343	0.3296116175
344	0.329480932
345	0.3292741025
346	0.3291170356
347	0.3289183284
348	0.3286777453
349	0.3285363444
350	0.3283257002
351	0.3281717193
352	0.3278934607
353	0.3276875528
354	0.3276113232
355	0.3274602997
356	0.3271670609
357	0.3270069508
358	0.3268163874
359	0.3267406506
360	0.3265478156
