iter	Passed	Remaining
0	46	56232
1	47	28524
2	48	19255
3	48	14540
4	49	11777
5	49	9933
6	50	8627
7	51	7653
8	52	6906
9	52	6288
10	53	5755
11	53	5337
12	54	4980
13	55	4676
14	55	4413
15	56	4184
16	57	3980
17	57	3801
18	58	3638
19	59	3482
20	59	3349
21	60	3227
22	60	3117
23	61	3015
24	62	2923
25	62	2839
26	63	2761
27	64	2689
28	64	2621
29	65	2560
30	66	2495
31	66	2440
32	67	2387
33	68	2336
34	68	2288
35	69	2244
36	70	2201
37	70	2160
38	71	2121
39	71	2084
40	72	2048
41	72	2006
42	73	1974
43	73	1943
44	74	1915
45	75	1887
46	75	1854
47	76	1829
48	76	1804
49	77	1782
50	78	1761
51	78	1741
52	79	1721
53	80	1701
54	80	1683
55	81	1665
56	82	1647
57	82	1630
58	83	1610
59	83	1595
60	84	1574
61	84	1554
62	85	1539
63	85	1525
64	86	1512
65	87	1499
66	87	1487
67	88	1475
68	89	1462
69	89	1450
70	90	1438
71	137	2149
72	137	2130
73	138	2104
74	139	2086
75	139	2062
76	140	2044
77	140	2027
78	141	2010
79	142	1994
80	143	1977
81	143	1961
82	144	1946
83	145	1930
84	146	1915
85	146	1900
86	147	1886
87	148	1871
88	148	1857
89	149	1844
90	150	1830
91	150	1817
92	151	1804
93	152	1792
94	153	1779
95	153	1767
96	154	1755
97	155	1744
98	155	1733
99	156	1722
100	157	1708
101	157	1697
102	158	1686
103	158	1674
104	159	1664
105	160	1654
106	161	1645
107	161	1635
108	162	1626
109	163	1616
110	163	1607
111	164	1596
112	164	1585
113	165	1576
114	166	1567
115	166	1559
116	167	1551
117	168	1543
118	168	1532
119	169	1524
120	170	1516
121	170	1508
122	171	1501
123	172	1493
124	172	1486
125	173	1479
126	174	1471
127	174	1461
128	175	1454
129	175	1447
130	176	1441
131	177	1434
132	177	1427
133	178	1421
134	179	1414
135	179	1405
136	180	1399
137	181	1393
138	181	1387
139	182	1381
140	183	1375
141	183	1369
142	184	1363
143	184	1356
144	185	1350
145	186	1344
146	236	1690
147	236	1682
148	237	1674
149	238	1667
150	238	1659
151	239	1651
152	240	1644
153	241	1636
154	241	1628
155	241	1618
156	242	1611
157	243	1604
158	243	1597
159	244	1590
160	245	1583
161	246	1576
162	246	1569
163	247	1563
164	248	1556
165	248	1550
166	249	1543
167	250	1537
168	251	1531
169	251	1525
170	252	1519
171	253	1512
172	253	1506
173	254	1500
174	255	1494
175	255	1488
176	256	1482
177	257	1476
178	257	1471
179	258	1465
180	259	1459
181	259	1452
182	260	1447
183	261	1441
184	261	1435
185	262	1430
186	263	1425
187	263	1419
188	264	1412
189	264	1407
190	265	1401
191	266	1396
192	266	1389
193	267	1385
194	267	1379
195	268	1374
196	269	1369
197	269	1364
198	270	1360
199	271	1355
200	271	1350
201	272	1346
202	273	1341
203	273	1337
204	274	1332
205	275	1328
206	275	1323
207	276	1319
208	277	1314
209	277	1308
210	278	1304
211	278	1299
212	279	1295
213	280	1291
214	281	1287
215	281	1282
216	282	1278
217	282	1274
218	283	1270
219	335	1493
220	336	1489
221	336	1484
222	337	1479
223	338	1474
224	339	1469
225	339	1465
226	340	1460
227	341	1455
228	342	1450
229	342	1445
230	343	1440
231	344	1435
232	344	1430
233	345	1425
234	345	1420
235	346	1415
236	347	1411
237	347	1406
238	348	1401
239	349	1397
240	350	1392
241	350	1388
242	351	1382
243	351	1378
244	352	1373
245	353	1369
246	353	1364
247	354	1359
248	354	1355
249	355	1351
250	356	1346
251	356	1342
252	357	1339
253	358	1335
254	359	1331
255	359	1327
256	360	1321
257	360	1317
258	361	1313
259	362	1309
260	362	1305
261	363	1301
262	363	1296
263	364	1292
264	365	1288
265	365	1285
266	366	1281
267	367	1276
268	367	1272
269	368	1268
270	368	1264
271	369	1261
272	370	1257
273	370	1253
274	371	1249
275	372	1246
276	372	1242
277	373	1239
278	374	1235
279	375	1232
280	375	1228
281	375	1223
282	376	1220
283	377	1216
284	377	1213
285	378	1209
286	379	1206
287	380	1203
288	380	1199
289	381	1196
290	381	1193
