PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Title_Encoded,FamilySize,IsAlone,Age_Group_Encoded,Fare_Group_Encoded,Sex_Encoded,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
1,0.0,3,22.0,1,0,7.25,0,1,2,0,3,1,0,0,0,1,0,0,1
2,1.0,1,38.0,1,0,71.2833,1,3,2,0,3,4,1,1,0,0,1,0,0
3,1.0,3,26.0,0,0,7.925,0,2,1,1,3,2,1,0,0,1,0,0,1
4,1.0,1,35.0,1,0,53.1,1,3,2,0,3,4,1,0,0,1,1,0,0
5,0.0,3,35.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
6,0.0,3,25.0,0,0,8.4583,0,1,1,1,3,2,0,0,1,0,0,0,1
7,0.0,1,54.0,0,0,51.8625,1,1,1,1,3,4,0,0,0,1,1,0,0
8,0.0,3,2.0,3,1,21.075,0,4,5,0,1,3,0,0,0,1,0,0,1
9,1.0,3,27.0,0,2,11.1333,0,3,3,0,3,2,1,0,0,1,0,0,1
10,1.0,2,14.0,1,0,30.0708,0,3,2,0,2,3,1,1,0,0,0,1,0
11,1.0,3,4.0,1,1,16.7,1,2,3,0,1,3,1,0,0,1,0,0,1
12,1.0,1,58.0,0,0,26.55,1,2,1,1,3,3,1,0,0,1,1,0,0
13,0.0,3,20.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
14,0.0,3,39.0,1,5,31.275,0,1,7,0,3,3,0,0,0,1,0,0,1
15,0.0,3,14.0,0,0,7.8542,0,2,1,1,2,1,1,0,0,1,0,0,1
16,1.0,2,55.0,0,0,16.0,0,3,1,1,3,3,1,0,0,1,0,1,0
17,0.0,3,2.0,4,1,29.125,0,4,6,0,1,3,0,0,1,0,0,0,1
18,1.0,2,29.5,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
19,0.0,3,31.0,1,0,18.0,0,3,2,0,3,3,1,0,0,1,0,0,1
20,1.0,3,22.0,0,0,7.225,0,3,1,1,3,1,1,1,0,0,0,0,1
21,0.0,2,35.0,0,0,26.0,0,1,1,1,3,3,0,0,0,1,0,1,0
22,1.0,2,34.0,0,0,13.0,1,1,1,1,3,2,0,0,0,1,0,1,0
23,1.0,3,15.0,0,0,8.0292,0,2,1,1,2,2,1,0,1,0,0,0,1
24,1.0,1,28.0,0,0,35.5,1,1,1,1,3,4,0,0,0,1,1,0,0
25,0.0,3,8.0,3,1,21.075,0,2,5,0,1,3,1,0,0,1,0,0,1
26,1.0,3,38.0,1,5,31.3875,0,3,7,0,3,4,1,0,0,1,0,0,1
27,0.0,3,25.0,0,0,7.225,0,1,1,1,3,1,0,1,0,0,0,0,1
28,0.0,1,19.0,3,2,133.65,1,1,6,0,3,4,0,0,0,1,1,0,0
29,1.0,3,22.0,0,0,7.8792,0,2,1,1,3,1,1,0,1,0,0,0,1
30,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
31,0.0,1,40.0,0,0,27.7208,0,5,1,1,3,3,0,1,0,0,1,0,0
32,1.0,1,36.0,1,0,133.65,1,3,2,0,3,4,1,1,0,0,1,0,0
33,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1
34,0.0,2,66.0,0,0,10.5,0,1,1,1,4,2,0,0,0,1,0,1,0
35,0.0,1,28.0,1,0,82.1708,0,1,2,0,3,4,0,1,0,0,1,0,0
