PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Title_Encoded,FamilySize,IsAlone,Age_Group_Encoded,Fare_Group_Encoded,Sex_Encoded,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Woman_or_Child,Sex_Pclass,Age_Fare,Title_Pclass,FamilySize_Pclass,High_Fare,Title_Pclass_Match,FamilyType,Age_Category,Fare_Quartile
1,0.0,3,22.0,1,0,7.25,0,1,2,0,3,1,0,0,0,1,0,0,1,1,0,159.5,3,6,0,0,1,3,0
2,1.0,1,38.0,1,0,71.2833,1,3,2,0,3,4,1,1,0,0,1,0,0,0,1,2708.7653999999998,3,2,1,1,1,4,3
3,1.0,3,26.0,0,0,7.925,0,2,1,1,3,2,1,0,0,1,0,0,1,0,3,206.04999999999998,6,3,0,0,0,3,1
4,1.0,1,35.0,1,0,53.1,1,3,2,0,3,4,1,0,0,1,1,0,0,0,1,1858.5,3,2,1,1,1,3,3
5,0.0,3,35.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,281.75,3,3,0,0,0,3,1
6,0.0,3,25.0,0,0,8.4583,0,1,1,1,3,2,0,0,1,0,0,0,1,1,0,211.45749999999998,3,3,0,0,0,3,1
7,0.0,1,54.0,0,0,51.8625,1,1,1,1,3,4,0,0,0,1,1,0,0,1,0,2800.575,1,1,1,1,0,4,3
8,0.0,3,2.0,3,1,21.075,0,4,5,0,1,3,0,0,0,1,0,0,1,1,0,42.15,12,15,0,0,2,0,2
9,1.0,3,27.0,0,2,11.1333,0,3,3,0,3,2,1,0,0,1,0,0,1,0,3,300.5991,9,9,0,0,1,3,1
10,1.0,2,14.0,1,0,30.0708,0,3,2,0,2,3,1,1,0,0,0,1,0,1,2,420.9912,6,4,0,0,1,2,2
11,1.0,3,4.0,1,1,16.7,1,2,3,0,1,3,1,0,0,1,0,0,1,1,3,66.8,6,9,0,0,1,0,2
12,1.0,1,58.0,0,0,26.55,1,2,1,1,3,3,1,0,0,1,1,0,0,0,1,1539.9,2,1,0,1,0,4,2
13,0.0,3,20.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,161.0,3,3,0,0,0,3,1
14,0.0,3,39.0,1,5,31.275,0,1,7,0,3,3,0,0,0,1,0,0,1,1,0,1219.725,3,21,1,0,2,4,3
15,0.0,3,14.0,0,0,7.8542,0,2,1,1,2,1,1,0,0,1,0,0,1,1,3,109.9588,6,3,0,0,0,2,0
16,1.0,2,55.0,0,0,16.0,0,3,1,1,3,3,1,0,0,1,0,1,0,0,2,880.0,6,2,0,0,0,4,2
17,0.0,3,2.0,4,1,29.125,0,4,6,0,1,3,0,0,1,0,0,0,1,1,0,58.25,12,18,0,0,2,0,2
18,1.0,2,29.5,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0,1,0,383.5,2,2,0,1,0,3,1
19,0.0,3,31.0,1,0,18.0,0,3,2,0,3,3,1,0,0,1,0,0,1,0,3,558.0,9,6,0,0,1,3,2
20,1.0,3,22.0,0,0,7.225,0,3,1,1,3,1,1,1,0,0,0,0,1,0,3,158.95,9,3,0,0,0,3,0
21,0.0,2,35.0,0,0,26.0,0,1,1,1,3,3,0,0,0,1,0,1,0,1,0,910.0,2,2,0,1,0,3,2
22,1.0,2,34.0,0,0,13.0,1,1,1,1,3,2,0,0,0,1,0,1,0,1,0,442.0,2,2,0,1,0,3,1
23,1.0,3,15.0,0,0,8.0292,0,2,1,1,2,2,1,0,1,0,0,0,1,1,3,120.43799999999999,6,3,0,0,0,2,1
24,1.0,1,28.0,0,0,35.5,1,1,1,1,3,4,0,0,0,1,1,0,0,1,0,994.0,1,1,1,1,0,3,3
25,0.0,3,8.0,3,1,21.075,0,2,5,0,1,3,1,0,0,1,0,0,1,1,3,168.6,6,15,0,0,2,1,2
26,1.0,3,38.0,1,5,31.3875,0,3,7,0,3,4,1,0,0,1,0,0,1,0,3,1192.725,9,21,1,0,2,4,3
27,0.0,3,25.0,0,0,7.225,0,1,1,1,3,1,0,1,0,0,0,0,1,1,0,180.625,3,3,0,0,0,3,0
28,0.0,1,19.0,3,2,133.65,1,1,6,0,3,4,0,0,0,1,1,0,0,1,0,2539.35,1,6,1,1,2,3,3
29,1.0,3,22.0,0,0,7.8792,0,2,1,1,3,1,1,0,1,0,0,0,1,0,3,173.3424,6,3,0,0,0,3,0
30,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,197.395,3,3,0,0,0,3,0
31,0.0,1,40.0,0,0,27.7208,0,5,1,1,3,3,0,1,0,0,1,0,0,1,0,1108.832,5,1,0,0,0,4,2
32,1.0,1,36.0,1,0,133.65,1,3,2,0,3,4,1,1,0,0,1,0,0,0,1,4811.400000000001,3,2,1,1,1,4,3
33,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1,0,3,170.5,6,3,0,0,0,3,0
34,0.0,2,66.0,0,0,10.5,0,1,1,1,4,2,0,0,0,1,0,1,0,1,0,693.0,2,2,0,1,0,5,1
35,0.0,1,28.0,1,0,82.1708,0,1,2,0,3,4,0,1,0,0,1,0,0,1,0,2300.7824,1,2,1,1,1,3,3
36,0.0,1,42.0,1,0,52.0,0,1,2,0,3,4,0,0,0,1,1,0,0,1,0,2184.0,1,2,1,1,1,4,3
37,1.0,3,25.0,0,0,7.2292,0,1,1,1,3,1,0,1,0,0,0,0,1,1,0,180.73,3,3,0,0,0,3,0
38,0.0,3,21.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,169.05,3,3,0,0,0,3,1
39,0.0,3,18.0,2,0,18.0,0,2,3,0,2,3,1,0,0,1,0,0,1,0,3,324.0,6,9,0,0,1,2,2
40,1.0,3,14.0,1,0,11.2417,0,2,2,0,2,2,1,1,0,0,0,0,1,1,3,157.3838,6,6,0,0,1,2,1
41,0.0,3,40.0,1,0,9.475,0,3,2,0,3,2,1,0,0,1,0,0,1,0,3,379.0,9,6,0,0,1,4,1
42,0.0,2,27.0,1,0,21.0,0,3,2,0,3,3,1,0,0,1,0,1,0,0,2,567.0,6,4,0,0,1,3,2
43,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,1,0,0,0,0,1,1,0,197.395,3,3,0,0,0,3,0
44,1.0,2,3.0,1,2,41.5792,0,2,4,0,1,4,1,1,0,0,0,1,0,1,2,124.7376,4,8,1,1,1,0,3
45,1.0,3,19.0,0,0,7.8792,0,2,1,1,3,1,1,0,1,0,0,0,1,0,3,149.7048,6,3,0,0,0,3,0
46,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,201.25000000000003,3,3,0,0,0,3,1
47,0.0,3,25.0,1,0,15.5,0,1,2,0,3,3,0,0,1,0,0,0,1,1,0,387.5,3,6,0,0,1,3,2
48,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1,0,3,170.5,6,3,0,0,0,3,0
49,0.0,3,25.0,2,0,21.6792,0,1,3,0,3,3,0,1,0,0,0,0,1,1,0,541.98,3,9,0,0,1,3,2
50,0.0,3,18.0,1,0,17.8,0,3,2,0,2,3,1,0,0,1,0,0,1,0,3,320.40000000000003,9,6,0,0,1,2,2
51,0.0,3,7.0,4,1,39.6875,0,4,6,0,1,4,0,0,0,1,0,0,1,1,0,277.8125,12,18,1,0,2,1,3
52,0.0,3,21.0,0,0,7.8,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,163.79999999999998,3,3,0,0,0,3,0
53,1.0,1,49.0,1,0,76.7292,1,3,2,0,3,4,1,1,0,0,1,0,0,0,1,3759.7308000000003,3,2,1,1,1,4,3
54,1.0,2,29.0,1,0,26.0,0,3,2,0,3,3,1,0,0,1,0,1,0,0,2,754.0,6,4,0,0,1,3,2
55,0.0,1,65.0,0,1,61.9792,1,1,2,0,4,4,0,1,0,0,1,0,0,1,0,4028.648,1,2,1,1,1,5,3
56,1.0,1,42.0,0,0,35.5,1,1,1,1,3,4,0,0,0,1,1,0,0,1,0,1491.0,1,1,1,1,0,4,3
57,1.0,2,21.0,0,0,10.5,0,2,1,1,3,2,1,0,0,1,0,1,0,0,2,220.5,4,2,0,1,0,3,1
58,0.0,3,28.5,0,0,7.2292,0,1,1,1,3,1,0,1,0,0,0,0,1,1,0,206.0322,3,3,0,0,0,3,0
59,1.0,2,5.0,1,2,27.75,0,2,4,0,1,3,1,0,0,1,0,1,0,1,2,138.75,4,8,0,1,1,0,2
60,0.0,3,11.0,5,2,46.9,0,4,8,0,1,4,0,0,0,1,0,0,1,1,0,515.9,12,24,1,0,2,1,3
61,0.0,3,22.0,0,0,7.2292,0,1,1,1,3,1,0,1,0,0,0,0,1,1,0,159.0424,3,3,0,0,0,3,0
62,1.0,1,38.0,0,0,80.0,1,2,1,1,3,4,1,0,0,1,1,0,0,0,1,3040.0,2,1,1,1,0,4,3
63,0.0,1,45.0,1,0,83.475,1,1,2,0,3,4,0,0,0,1,1,0,0,1,0,3756.3749999999995,1,2,1,1,1,4,3
64,0.0,3,4.0,3,2,27.9,0,4,6,0,1,3,0,0,0,1,0,0,1,1,0,111.6,12,18,0,0,2,0,2
65,0.0,1,42.0,0,0,27.7208,0,1,1,1,3,3,0,1,0,0,1,0,0,1,0,1164.2736,1,1,0,1,0,4,2
66,1.0,3,25.0,1,1,15.2458,0,4,3,0,3,3,0,1,0,0,0,0,1,1,0,381.145,12,9,0,0,1,3,2
67,1.0,2,29.0,0,0,10.5,1,3,1,1,3,2,1,0,0,1,0,1,0,0,2,304.5,6,2,0,0,0,3,1
68,0.0,3,19.0,0,0,8.1583,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,155.0077,3,3,0,0,0,3,1
69,1.0,3,17.0,4,2,7.925,0,2,7,0,2,2,1,0,0,1,0,0,1,1,3,134.725,6,21,0,0,2,2,1
70,0.0,3,26.0,2,0,8.6625,0,1,3,0,3,2,0,0,0,1,0,0,1,1,0,225.225,3,9,0,0,1,3,1
71,0.0,2,32.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0,1,0,336.0,2,2,0,1,0,3,1
72,0.0,3,16.0,5,2,46.9,0,2,8,0,2,4,1,0,0,1,0,0,1,1,3,750.4,6,24,1,0,2,2,3
73,0.0,2,21.0,0,0,73.5,0,1,1,1,3,4,0,0,0,1,0,1,0,1,0,1543.5,2,2,1,1,0,3,3
74,0.0,3,26.0,1,0,14.4542,0,1,2,0,3,2,0,1,0,0,0,0,1,1,0,375.80920000000003,3,6,0,0,1,3,1
75,1.0,3,32.0,0,0,56.4958,0,1,1,1,3,4,0,0,0,1,0,0,1,1,0,1807.8656,3,3,1,0,0,3,3
76,0.0,3,25.0,0,0,7.65,1,1,1,1,3,1,0,0,0,1,0,0,1,1,0,191.25,3,3,0,0,0,3,0
77,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,197.395,3,3,0,0,0,3,0
78,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,201.25000000000003,3,3,0,0,0,3,1
79,1.0,2,0.83,0,2,29.0,0,4,3,0,1,3,0,0,0,1,0,1,0,1,0,24.07,8,6,0,0,1,0,2
80,1.0,3,30.0,0,0,12.475,0,2,1,1,3,2,1,0,0,1,0,0,1,0,3,374.25,6,3,0,0,0,3,1
81,0.0,3,22.0,0,0,9.0,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,198.0,3,3,0,0,0,3,1
82,1.0,3,29.0,0,0,9.5,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,275.5,3,3,0,0,0,3,1
83,1.0,3,22.0,0,0,7.7875,0,2,1,1,3,1,1,0,1,0,0,0,1,0,3,171.325,6,3,0,0,0,3,0
84,0.0,1,28.0,0,0,47.1,0,1,1,1,3,4,0,0,0,1,1,0,0,1,0,1318.8,1,1,1,1,0,3,3
85,1.0,2,17.0,0,0,10.5,0,2,1,1,2,2,1,0,0,1,0,1,0,1,2,178.5,4,2,0,1,0,2,1
86,1.0,3,33.0,3,0,15.85,0,3,4,0,3,3,1,0,0,1,0,0,1,0,3,523.05,9,12,0,0,1,3,2
87,0.0,3,16.0,1,3,34.375,0,1,5,0,2,4,0,0,0,1,0,0,1,1,0,550.0,3,15,1,0,2,2,3
88,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,201.25000000000003,3,3,0,0,0,3,1
89,1.0,1,23.0,3,2,133.65,1,2,6,0,3,4,1,0,0,1,1,0,0,0,1,3073.9500000000003,2,6,1,1,2,3,3
90,0.0,3,24.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,193.20000000000002,3,3,0,0,0,3,1
91,0.0,3,29.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,233.45000000000002,3,3,0,0,0,3,1
92,0.0,3,20.0,0,0,7.8542,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,157.084,3,3,0,0,0,3,0
93,0.0,1,46.0,1,0,61.175,1,1,2,0,3,4,0,0,0,1,1,0,0,1,0,2814.0499999999997,1,2,1,1,1,4,3
94,0.0,3,26.0,1,2,20.575,0,1,4,0,3,3,0,0,0,1,0,0,1,1,0,534.9499999999999,3,12,0,0,1,3,2
95,0.0,3,59.0,0,0,7.25,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,427.75,3,3,0,0,0,4,0
96,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,201.25000000000003,3,3,0,0,0,3,1
97,0.0,1,71.0,0,0,34.6542,1,1,1,1,4,4,0,1,0,0,1,0,0,1,0,2460.4482000000003,1,1,1,1,0,5,3
98,1.0,1,23.0,0,1,63.3583,1,1,2,0,3,4,0,1,0,0,1,0,0,1,0,1457.2409,1,2,1,1,1,3,3
99,1.0,2,34.0,0,1,23.0,0,3,2,0,3,3,1,0,0,1,0,1,0,0,2,782.0,6,4,0,0,1,3,2
100,0.0,2,34.0,1,0,26.0,0,1,2,0,3,3,0,0,0,1,0,1,0,1,0,884.0,2,4,0,1,1,3,2
101,0.0,3,28.0,0,0,7.8958,0,2,1,1,3,1,1,0,0,1,0,0,1,0,3,221.0824,6,3,0,0,0,3,0
102,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,197.395,3,3,0,0,0,3,0
103,0.0,1,21.0,0,1,77.2875,1,1,2,0,3,4,0,0,0,1,1,0,0,1,0,1623.0375,1,2,1,1,1,3,3
104,0.0,3,33.0,0,0,8.6542,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,285.5886,3,3,0,0,0,3,1
105,0.0,3,37.0,2,0,7.925,0,1,3,0,3,2,0,0,0,1,0,0,1,1,0,293.22499999999997,3,9,0,0,1,4,1
106,0.0,3,28.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,221.0824,3,3,0,0,0,3,0
107,1.0,3,21.0,0,0,7.65,0,2,1,1,3,1,1,0,0,1,0,0,1,0,3,160.65,6,3,0,0,0,3,0
108,1.0,3,25.0,0,0,7.775,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,194.375,3,3,0,0,0,3,0
109,0.0,3,38.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,300.04040000000003,3,3,0,0,0,4,0
110,1.0,3,22.0,1,0,24.15,0,2,2,0,3,3,1,0,1,0,0,0,1,0,3,531.3,6,6,0,0,1,3,2
111,0.0,1,47.0,0,0,52.0,1,1,1,1,3,4,0,0,0,1,1,0,0,1,0,2444.0,1,1,1,1,0,4,3
112,0.0,3,14.5,1,0,14.4542,0,2,2,0,2,2,1,1,0,0,0,0,1,1,3,209.5859,6,6,0,0,1,2,1
113,0.0,3,22.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,177.10000000000002,3,3,0,0,0,3,1
114,0.0,3,20.0,1,0,9.825,0,2,2,0,3,2,1,0,0,1,0,0,1,0,3,196.5,6,6,0,0,1,3,1
115,0.0,3,17.0,0,0,14.4583,0,2,1,1,2,3,1,1,0,0,0,0,1,1,3,245.7911,6,3,0,0,0,2,2
